sampleID	bottle_num_BODC	station_num_BODC	lat	lon	depth	geojoin.dist.km	chla_norm	dcm_depth	dcm.layer	dcm.max
S0049	844604	1646368	35.416	-66.541	31.3	0.03	0.945	47.5	1	1
S0050	844607	1646368	35.416	-66.541	68	0.03	0.951	47.5	1	1
S0051	844610	1646368	35.416	-66.541	111.1	0.03	0.52	47.5	1	0
S0052	844613	1646368	35.416	-66.541	135.8	0.03	0.395	47.5	0	0
S0053	844616	1646368	35.416	-66.541	186.3	0.03	0.387	47.5	0	0
S0054	844619	1646368	35.416	-66.541	237.3	0.03	0.382	47.5	0	0
S0055	844622	1646368	35.416	-66.541	291.5	0.03	0.385	47.5	0	0
S0057	846086	1701465	24.15	-40.218	38.9	0.04	0.532	112.5	1	0
S0058	846089	1701465	24.15	-40.218	65.2	0.04	0.576	112.5	1	0
S0059	846092	1701465	24.15	-40.218	75.1	0.04	0.6	112.5	1	0
S0060	846095	1701465	24.15	-40.218	113.9	0.04	1	112.5	1	1
S0061	846101	1701465	24.15	-40.218	184	0.04	0.405	112.5	0	0
S0062	846104	1701465	24.15	-40.218	233	0.04	0.359	112.5	0	0
S0063	846107	1701465	24.15	-40.218	283.9	0.04	0.344	112.5	0	0
S0064	845300	1701374	38.655	-69.131	28.4	0.03	0.857	38	1	0
S0065	845303	1701374	38.655	-69.131	61.2	0.03	0.762	38	1	0
S0066	845306	1701374	38.655	-69.131	86.4	0.03	0.55	38	1	0
S0067	845309	1701374	38.655	-69.131	108.8	0.03	0.353	38	0	0
S0068	845312	1701374	38.655	-69.131	135.6	0.03	0.26	38	0	0
S0069	845315	1701374	38.655	-69.131	186.5	0.03	0.245	38	0	0
S0070	845318	1701374	38.655	-69.131	234.7	0.03	0.241	38	0	0
S0071	845321	1701374	38.655	-69.131	288.8	0.03	0.245	38	0	0
S0072	846236	1646816	22.333	-35.867	39.9	0.01	0.449	2	0	0
S0073	846239	1646816	22.333	-35.867	74.3	0.01	0.623	2	1	0
S0074	846242	1646816	22.333	-35.867	99.7	0.01	0.996	2	1	1
S0075	846245	1646816	22.333	-35.867	134.2	0.01	0.639	2	1	0
S0076	846248	1646816	22.333	-35.867	183.8	0.01	0.358	2	0	0
S0077	846251	1646816	22.333	-35.867	234.1	0.01	0.322	2	0	0
S0078	846254	1646816	22.333	-35.867	300.8	0.01	0.324	2	0	0
