sampleID	bottle_num_BODC	station_num_BODC	lat	lon	depth	geojoin.dist.km	chla_norm	dcm_depth	dcm.layer	dcm.max
S0001	631397	1608554	49.722	-42.447	10	0.06	0.998	4.5	1	1
S0002	631391	1608554	49.722	-42.447	50	0.06	0.113	4.5	0	0
S0003	631388	1608554	49.722	-42.447	75	0.06	0.055	4.5	0	0
S0004	631385	1608554	49.722	-42.447	101	0.06	0.013	4.5	0	0
S0005	631382	1608554	49.722	-42.447	152	0.06	0.005	4.5	0	0
S0006	631379	1608554	49.722	-42.447	199	0.06	0.01	4.5	0	0
S0008	631829	1608603	46.312	-39.658	10	0	0.666	18	1	0
S0009	631823	1608603	46.312	-39.658	49	0	0.146	18	0	0
S0010	631820	1608603	46.312	-39.658	73	0	0.101	18	0	0
S0011	631817	1608603	46.312	-39.658	100	0	0.017	18	0	0
S0012	631814	1608603	46.312	-39.658	153	0	0.006	18	0	0
S0013	631811	1608603	46.312	-39.658	198	0	0	18	0	0
S0015	632891	1608687	36.207	-53.268	8	0.03	0.736	35.5	1	0
S0016	632885	1608687	36.207	-53.268	50	0.03	0.951	35.5	1	1
S0017	632882	1608687	36.207	-53.268	74	0.03	0.434	35.5	0	0
S0018	632879	1608687	36.207	-53.268	102	0.03	0.149	35.5	0	0
S0019	632876	1608687	36.207	-53.268	151	0.03	0.128	35.5	0	0
S0020	632873	1608687	36.207	-53.268	199	0.03	0.08	35.5	0	0
S0021	632459	1608673	37.567	-50.685	10	0.06	0.431	42	0	0
S0022	632453	1608673	37.567	-50.685	52	0.06	0.914	42	1	1
S0023	632450	1608673	37.567	-50.685	75	0.06	0.545	42	1	0
S0024	632447	1608673	37.567	-50.685	103	0.06	0.125	42	0	0
S0025	632444	1608673	37.567	-50.685	151	0.06	0.084	42	0	0
S0026	632441	1608673	37.567	-50.685	201	0.06	0.013	42	0	0
S0027	632129	1608701	34.328	-55.432	10	0.05	0.359	34	0	0
S0028	632123	1608701	34.328	-55.432	50	0.05	0.706	34	1	0
S0029	632120	1608701	34.328	-55.432	77	0.05	0.229	34	0	0
S0030	632117	1608701	34.328	-55.432	103	0.05	0.079	34	0	0
S0031	632114	1608701	34.328	-55.432	152	0.05	0.02	34	0	0
S0032	632111	1608701	34.328	-55.432	199	0.05	0	34	0	0
S0033	636587	1609079	13.162	-53.422	9	0.06	0.805	22	1	0
S0034	636578	1609079	13.162	-53.422	75	0.06	0.243	22	0	0
S0035	636575	1609079	13.162	-53.422	99	0.06	0.131	22	0	0
S0036	636572	1609079	13.162	-53.422	150	0.06	0.159	22	0	0
S0037	636569	1609079	13.162	-53.422	200	0.06	0.121	22	0	0
S0039	634616	1609114	9.546	-50.469	9	0.05	0.302	94	0	0
S0040	634607	1609114	9.546	-50.469	72	0.05	0.465	94	0	0
S0041	634604	1609114	9.546	-50.469	100	0.05	0.975	94	1	1
S0042	634601	1609114	9.546	-50.469	151	0.05	0.38	94	0	0
S0043	634598	1609114	9.546	-50.469	201	0.05	0.287	94	0	0
S0044	636299	1609051	16.831	-56.269	8	0.06	1	13	1	1
S0045	636290	1609051	16.831	-56.269	76	0.06	0.046	13	0	0
S0046	636287	1609051	16.831	-56.269	101	0.06	0.046	13	0	0
S0047	636284	1609051	16.831	-56.269	150	0.06	0.066	13	0	0
S0048	636281	1609051	16.831	-56.269	201	0.06	0.049	13	0	0
S0147	633245	1608932	24.714	-67.073	11	0.05	0.069	130	0	0
S0148	633236	1608932	24.714	-67.073	77	0.05	0.208	130	0	0
S0149	633233	1608932	24.714	-67.073	119	0.05	0.688	130	1	0
S0150	633230	1608932	24.714	-67.073	152	0.05	0.326	130	0	0
S0151	633227	1608932	24.714	-67.073	202	0.05	0	130	0	0
S0152	633533	1608967	22.341	-63.583	12	0.03	0.234	3.5	0	0
S0153	633524	1608967	22.341	-63.583	75	0.03	0.336	3.5	0	0
S0154	633521	1608967	22.341	-63.583	100	0.03	0.406	3.5	0	0
S0155	633518	1608967	22.341	-63.583	127	0.03	1	3.5	1	1
S0156	633515	1608967	22.341	-63.583	200	0.03	0.312	3.5	0	0
S0157	631541	1608582	47.801	-39.399	9	0.03	0.441	19.5	0	0
S0158	631535	1608582	47.801	-39.399	50	0.03	0.183	19.5	0	0
S0159	631532	1608582	47.801	-39.399	75	0.03	0.083	19.5	0	0
S0160	631529	1608582	47.801	-39.399	101	0.03	0.02	19.5	0	0
S0161	631526	1608582	47.801	-39.399	152	0.03	0.006	19.5	0	0
S0162	631523	1608582	47.801	-39.399	201	0.03	0	19.5	0	0
S0163	633860	1608862	31.667	-64.167	10	0.03	0.13	2	0	0
S0164	633851	1608862	31.667	-64.167	75	0.03	0.993	2	1	1
S0165	633848	1608862	31.667	-64.167	100	0.03	0.513	82	1	0
S0166	633845	1608862	31.667	-64.167	150	0.03	0.122	2	0	0
S0167	633842	1608862	31.667	-64.167	202	0.03	0.117	2	0	0
S0168	634370	1608904	28.09	-67.501	8	0.07	0.212	136	0	0
S0169	634361	1608904	28.09	-67.501	76	0.07	0.26	136	0	0
S0170	634358	1608904	28.09	-67.501	87	0.07	0.269	136	0	0
S0171	634355	1608904	28.09	-67.501	150	0.07	0.615	136	1	0
S0172	634352	1608904	28.09	-67.501	200	0.07	0.481	136	0	0
S0177	637412	1629687	-35.009	-39.431	49	0.03	0.226	106.5	0	0
S0178	637403	1629687	-35.009	-39.431	151	0.03	0.149	106.5	0	0
S0179	639548	1629701	-32.092	-37.456	10	0.03	0.093	103.5	0	0
S0180	639533	1629701	-32.092	-37.456	149	0.03	0.168	103.5	0	0
S0181	639692	1629722	-29.054	-35.808	11	0.03	0.105	108	0	0
S0182	639686	1629722	-29.054	-35.808	50	0.03	0.272	108	0	0
S0183	639677	1629722	-29.054	-35.808	150	0.03	0.204	108	0	0
S0184	639764	1629743	-26.087	-34.258	10	0.06	0.144	103	0	0
S0185	639758	1629743	-26.087	-34.258	50	0.06	0.259	103	0	0
S0186	639749	1629743	-26.087	-34.258	151	0.06	0.273	103	0	0
S0187	638351	1629771	-22.473	-32.749	9	0.04	0.071	104	0	0
S0188	638345	1629771	-22.473	-32.749	49	0.04	0.229	104	0	0
S0189	638336	1629771	-22.473	-32.749	150	0.04	0.286	104	0	0
S0190	638561	1629785	-17.017	-30.605	49	0.04	0.226	141.5	0	0
S0191	638711	1629799	-12.896	-29.233	10	0.06	0.066	153	0	0
S0192	638705	1629799	-12.896	-29.233	49	0.06	0.12	153	0	0
S0193	638696	1629799	-12.896	-29.233	149	0.06	0.964	153	1	1
S0195	638552	1629785	-17.017	-30.605	143	0.04	0.991	141.5	1	1
S0196	638855	1629820	-9.161	-28.001	10	0.03	0.058	133	0	0
S0197	638849	1629820	-9.161	-28.001	50	0.03	0.169	133	0	0
S0198	638840	1629820	-9.161	-28.001	135	0.03	0.983	133	1	1
S0199	638927	1629841	-5.667	-28.457	10	0.04	0.176	109.5	0	0
S0200	638921	1629841	-5.667	-28.457	50	0.04	0.294	109.5	0	0
S0201	638912	1629841	-5.667	-28.457	149	0.04	0.294	109.5	0	0
S0202	639206	1629869	-2.651	-28.917	10	0.06	0.123	70	0	0
S0203	639200	1629869	-2.651	-28.917	65	0.06	0.901	70	1	1
S0204	639191	1629869	-2.651	-28.917	149	0.06	0.093	70	0	0
S0205	639422	1629883	-0.192	-32.874	9	0.08	0.112	66	0	0
S0206	639416	1629883	-0.192	-32.874	61	0.08	1	66	1	1
S0207	639407	1629883	-0.192	-32.874	150	0.08	0.112	66	0	0
S0209	637580	1629547	-49.548	-52.688	10	0.07	0.726	30.5	1	0
S0210	637574	1629547	-49.548	-52.688	49	0.07	0.729	30.5	1	0
S0211	637724	1629582	-48.936	-48.793	11	0.03	0.862	26.5	1	0
S0212	637718	1629582	-48.936	-48.793	51	0.03	0.641	26.5	1	0
S0213	637709	1629582	-48.936	-48.793	150	0.03	0.062	26.5	0	0
S0214	638012	1629596	-46.907	-47.179	10	0	0.997	19.5	1	1
S0215	638006	1629596	-46.907	-47.179	51	0	0.427	19.5	0	0
S0216	637997	1629596	-46.907	-47.179	151	0	0.049	19.5	0	0
S0217	638156	1629610	-44.712	-45.526	10	0.05	0.278	36.5	0	0
S0218	638150	1629610	-44.712	-45.526	51	0.05	0.441	36.5	0	0
S0219	638141	1629610	-44.712	-45.526	149	0.05	0.028	36.5	0	0
S0220	638300	1629624	-42.364	-44.032	10	0.02	0.551	33	1	0
S0221	638294	1629624	-42.364	-44.032	50	0.02	0.444	33	0	0
S0222	638285	1629624	-42.364	-44.032	150	0.02	0.025	33	0	0
S0223	636995	1629652	-39.965	-42.423	10	0.03	0.13	68.5	0	0
S0224	636989	1629652	-39.965	-42.423	50	0.03	0.318	68.5	0	0
S0225	636980	1629652	-39.965	-42.423	149	0.03	0.055	68.5	0	0
S0226	637139	1629673	-37.83	-41.125	9	0.06	0.093	94	0	0
S0227	637133	1629673	-37.83	-41.125	50	0.06	0.243	94	0	0
S0228	637124	1629673	-37.83	-41.125	148	0.06	0.138	94	0	0
S0229	637418	1629687	-35.009	-39.431	11	0.03	0.09	106.5	0	0
S0294	632273	1608715	33.433	-58.05	9	0.05	0.265	70	0	0
S0295	632267	1608715	33.433	-58.05	51	0.05	0.699	70	1	0
S0296	632264	1608715	33.433	-58.05	76	0.05	0.925	70	1	1
S0297	632258	1608715	33.433	-58.05	151	0.05	0.156	70	0	0
S0298	632255	1608715	33.433	-58.05	201	0.05	0.075	70	0	0
